metric,seeds,mean,sd,minimum,maximum
roc_auc,5,0.7604795712449203,0.013437416273163548,0.7450588730025232,0.7791796737864862
pr_auc,5,0.015090856736443309,0.010943128615908519,0.008346694149450143,0.0344641115829286
brier,5,0.2067671308666526,0.026216425284347887,0.17771568213400912,0.23577822907903498
recall_top_0p02,5,0.0910569105691057,0.03830640321752763,0.04065040650406504,0.13821138211382114
recall_top_0p05,5,0.22926829268292687,0.030092285403775204,0.18699186991869918,0.2601626016260163
recall_top_0p1,5,0.32845528455284556,0.023422537058354356,0.3008130081300813,0.35772357723577236
