analysis,model,cohort,rows,positives,prevalence,roc_auc,pr_auc,brier,top_2pct_recall,top_5pct_recall,top_10pct_recall
Primary mature temporal test,Logistic regression,FY2021-FY2022,51627,123,0.0023824742867104,0.683885630794798,0.0071129191731335,0.1763097649772021,0.1138211382113821,0.1788617886178861,0.2357723577235772
Primary mature temporal test,Random forest,FY2021-FY2022,51627,123,0.0023824742867104,0.662223646059853,0.0045412879170095,0.0026714286580493,0.048780487804878,0.1138211382113821,0.2032520325203252
Primary mature temporal test,Extra trees,FY2021-FY2022,51627,123,0.0023824742867104,0.6590451890073421,0.005732536552015,0.0463191334010622,0.0975609756097561,0.1463414634146341,0.2357723577235772
Primary mature temporal test,Gradient boosting,FY2021-FY2022,51627,123,0.0023824742867104,0.6096527035866817,0.0035853260983152,0.1437890467242648,0.040650406504065,0.08130081300813,0.1544715447154471
Primary mature temporal test,HistGradientBoosting,FY2021-FY2022,51627,123,0.0023824742867104,0.666799579225988,0.0042127511550553,0.0264426273304356,0.032520325203252,0.056910569105691,0.1544715447154471
Primary mature temporal test,DeepCut-inspired neural threshold,FY2021-FY2022,51627,123,0.0023824742867104,0.7450588730025232,0.00981387207821,0.1777156820849929,0.065040650406504,0.2520325203252032,0.3333333333333333
