subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,seed,cache_file,best_epoch,best_validation_pr_auc
Mature FY2021-FY2022 temporal test,DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.5,0.7450588730025232,0.009813872078210096,0.17771568213400912,0.4999559514509173,0.3193626355774322,0.3217451098641427,0.007404850030872094,0.6955081643326166,0.6932878526129157,0.005391006532631445,0.6910569105691057,0.010698552548772814,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.00774788385922095,0.06504065040650407,3.252032520325203,8.0,0.012009219981792472,0.25203252032520324,5.0406504065040645,31.0,0.007941580955701473,0.3333333333333333,3.333333333333333,41.0,20260531,deepcut_full_seed_20260531.npz,12,0.0260955959675974
Mature FY2021-FY2022 temporal test,DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.5,0.768249904656549,0.008346694149450143,0.23577822907903498,0.6358597152065072,0.38257933639401903,0.38496181068072954,0.0061888587922461795,0.5607918337304124,0.7028201456292289,0.0045694200351493845,0.8455284552845529,0.009089717257352619,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.011621825788831426,0.04878048780487805,4.878048780487806,6.0,0.012590311271234046,0.10569105691056911,5.284552845528456,13.0,0.01239661417475352,0.2601626016260163,5.203252032520325,32.0,0.008522672245143043,0.35772357723577236,3.5772357723577226,44.0,20260532,deepcut_full_adaptive_two_sided_seed_20260532.npz,8,0.01684474512565229
Mature FY2021-FY2022 temporal test,DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.5,0.7575371839459307,0.010124800397613622,0.22535606915028797,0.6135952186646476,0.36786313197891196,0.3702456062656225,0.0064348482369327616,0.6023398609254847,0.7195884383121558,0.004996846650172222,0.8373983739837398,0.009934413580246914,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.012590311271234046,0.10569105691056911,5.284552845528456,13.0,0.010072249016987235,0.21138211382113822,4.227642276422764,26.0,0.007166792569779378,0.3008130081300813,3.0081300813008127,37.0,20260533,deepcut_full_adaptive_two_sided_seed_20260533.npz,9,0.01986297706882932
Mature FY2021-FY2022 temporal test,DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.5,0.7791796737864862,0.0344641115829286,0.21401554325973565,0.5949875025234366,0.3595162510117448,0.3618987252984553,0.0065832624437835,0.6452243980862726,0.7208052512142082,0.0053292729349067374,0.7967479674796748,0.010587726879861712,0.0154957677184419,0.032520325203252036,6.504065040650406,4.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.01646425320084452,0.13821138211382114,6.910569105691057,17.0,0.011234431595870377,0.23577235772357724,4.715447154471544,29.0,0.008135278052181996,0.34146341463414637,3.4146341463414625,42.0,20260534,deepcut_full_adaptive_two_sided_seed_20260534.npz,8,0.046767131169358434
Mature FY2021-FY2022 temporal test,DeepCut-inspired neural threshold,51627,123,0.002382474286710442,0.5,0.7523722208331123,0.012704805474014074,0.1809701307101951,0.5071025862420128,0.30991386530435977,0.31229633959107017,0.007628889566333447,0.6994789548104674,0.6993333219678888,0.0055255718324338215,0.6991869918699187,0.010964492892203736,0.019369709648052378,0.04065040650406504,8.130081300813009,5.0,0.009684854824026189,0.04065040650406504,4.065040650406504,5.0,0.0048424274120130945,0.04065040650406504,2.032520325203252,5.0,0.008910066438104092,0.18699186991869918,3.7398373983739837,23.0,0.007360489666259902,0.3089430894308943,3.0894308943089426,38.0,20260535,deepcut_full_adaptive_two_sided_seed_20260535.npz,21,0.022536148553713293
