subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,calibration_method
FY2023 incomplete follow-up,Logistic regression,24296,44,0.0018109976950938427,0.99,0.6956736464096681,0.004444797591363789,0.18618071786983778,0.5490692736189319,0.3256340294765932,0.3274450271716871,0.005530692314176737,0.9941554165294699,0.5093225675858036,0.01,0.022727272727272728,0.013888888888888888,0.008231807704972012,0.022727272727272728,4.545454545454545,1.0,0.012347711557458018,0.06818181818181818,6.818181818181818,3.0,0.008231807704972012,0.09090909090909091,4.545454545454545,4.0,0.004939084622983207,0.13636363636363635,2.7272727272727275,6.0,0.003292723081988805,0.18181818181818182,1.8181818181818183,8.0,raw
FY2023 incomplete follow-up,Random forest,24296,44,0.0018109976950938427,0.0999999999999999,0.6195651155293659,0.004744110196646494,0.002138509275574545,0.021453657617126805,0.009761849086865301,0.011572846781959146,0.15648679440887422,0.9936615080671716,0.5317612043242919,0.02586206896551724,0.06818181818181818,0.0375,0.024695423114916036,0.06818181818181818,13.636363636363637,3.0,0.012347711557458018,0.06818181818181818,6.818181818181818,3.0,0.008231807704972012,0.09090909090909091,4.545454545454545,4.0,0.003292723081988805,0.09090909090909091,1.8181818181818183,4.0,0.0028811326967402044,0.1590909090909091,1.590909090909091,7.0,raw
FY2023 incomplete follow-up,Extra trees,24296,44,0.0018109976950938427,0.67,0.5967661523698139,0.006212664546919258,0.0471466056100036,0.19819227240016862,0.16225757107625036,0.1640685687713442,0.01103805383722069,0.9967072769180112,0.49925779317169716,0.0,0.0,0.0,0.016463615409944024,0.045454545454545456,9.09090909090909,2.0,0.02057951926243003,0.11363636363636363,11.363636363636363,5.0,0.012347711557458018,0.13636363636363635,6.818181818181818,6.0,0.007408626934474811,0.20454545454545456,4.090909090909091,9.0,0.005762265393480409,0.3181818181818182,3.181818181818182,14.0,raw
FY2023 incomplete follow-up,Gradient boosting,24296,44,0.0018109976950938427,0.7100000000000001,0.6590478011185581,0.003110735429551808,0.1523823851131199,0.4704712952351417,0.3389222573001518,0.34073325499524565,0.005315001305402703,0.959993414553836,0.5148966158367445,0.0032119914346895075,0.06818181818181818,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003292723081988805,0.09090909090909091,1.8181818181818183,4.0,0.004115903852486006,0.22727272727272727,2.2727272727272725,10.0,raw
FY2023 incomplete follow-up,HistGradientBoosting,24296,44,0.0018109976950938427,0.79,0.6266587198056768,0.002839069791992585,0.028528902708806914,0.12450644835848729,0.09642456975822622,0.09823556745332006,0.018435254582861743,0.9950197563384919,0.49841250206168564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002057951926243003,0.022727272727272728,1.1363636363636362,1.0,0.004115903852486006,0.11363636363636363,2.2727272727272725,5.0,0.0037043134672374053,0.20454545454545456,2.0454545454545454,9.0,raw
FY2023 incomplete follow-up,DeepCut-inspired neural threshold,24296,44,0.0018109976950938427,0.94,0.7376308233247866,0.004472492253885254,0.18244019597144648,0.5101461819484325,0.3243496513415748,0.32616064903666864,0.005552471459824208,0.9966661178794863,0.4992371763153554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004115903852486006,0.022727272727272728,2.2727272727272725,1.0,0.004115903852486006,0.045454545454545456,2.2727272727272725,2.0,0.005762265393480409,0.1590909090909091,3.181818181818182,7.0,0.004115903852486006,0.22727272727272727,2.2727272727272725,10.0,raw
