subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,calibration_method
FY2023 incomplete follow-up,Logistic regression,24296,44,0.0018109976950938427,0.02,0.6632316172611817,0.003135815383047376,0.0018241977080270294,0.013549055553013766,0.0017048675790115038,0.0035158652741053465,0.5150930294263544,0.994402370760619,0.5094462687238541,0.010638297872340425,0.022727272727272728,0.014492753623188406,0.008231807704972012,0.022727272727272728,4.545454545454545,1.0,0.004115903852486006,0.022727272727272728,2.2727272727272725,1.0,0.002057951926243003,0.022727272727272728,1.1363636363636362,1.0,0.0024695423114916037,0.06818181818181818,1.3636363636363638,3.0,0.0024695423114916037,0.13636363636363635,1.3636363636363638,6.0,isotonic
FY2023 incomplete follow-up,Random forest,24296,44,0.0018109976950938427,0.04,0.618773709384793,0.0037580803605265687,0.0018464071575218551,0.014036027973655387,0.0017744612127352142,0.0035854589078290564,0.5050950914928699,0.9912331247942048,0.530544809800129,0.017142857142857144,0.06818181818181818,0.0273972602739726,0.024695423114916036,0.06818181818181818,13.636363636363637,3.0,0.012347711557458018,0.06818181818181818,6.818181818181818,3.0,0.006173855778729009,0.06818181818181818,3.409090909090909,3.0,0.004115903852486006,0.11363636363636363,2.2727272727272725,5.0,0.0028811326967402044,0.1590909090909091,1.590909090909091,7.0,isotonic
FY2023 incomplete follow-up,Extra trees,24296,44,0.0018109976950938427,0.05,0.6320059826368585,0.004780273917336417,0.0018704987345477839,0.014116613973669105,0.0015228838028509197,0.003333881497944762,0.5432099779822013,0.9967072769180112,0.49925779317169716,0.0,0.0,0.0,0.008231807704972012,0.022727272727272728,4.545454545454545,1.0,0.016463615409944024,0.09090909090909091,9.09090909090909,4.0,0.010289759631215015,0.11363636363636363,5.681818181818182,5.0,0.007408626934474811,0.20454545454545456,4.090909090909091,9.0,0.005762265393480409,0.3181818181818182,3.181818181818182,14.0,isotonic
FY2023 incomplete follow-up,Gradient boosting,24296,44,0.0018109976950938427,0.01,0.6540079168728352,0.0028783844173882584,0.0018103235384333515,0.013405762128663507,0.001657384863542445,0.0034683825586362877,0.5221447359041899,0.9981890023049061,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004115903852486006,0.045454545454545456,2.2727272727272725,2.0,0.0024695423114916037,0.06818181818181818,1.3636363636363638,3.0,0.0037043134672374053,0.20454545454545456,2.0454545454545454,9.0,isotonic
FY2023 incomplete follow-up,HistGradientBoosting,24296,44,0.0018109976950938427,0.02,0.6283760102259607,0.002634866112433476,0.0018389646279684435,0.01399433844977572,0.0017218101304690423,0.003532807825562885,0.5126227591520054,0.9952667105696411,0.4985362031997361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004115903852486006,0.11363636363636363,2.2727272727272725,5.0,0.0024695423114916037,0.13636363636363635,1.3636363636363638,6.0,isotonic
FY2023 incomplete follow-up,DeepCut-inspired neural threshold,24296,44,0.0018109976950938427,0.02,0.7234211236561557,0.0039115860985429384,0.0018528575456958052,0.013417757819690979,0.0015806698428194356,0.0033916675379132787,0.5339549572149568,0.9965837998024366,0.49919594260267197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002057951926243003,0.022727272727272728,1.1363636363636362,1.0,0.005762265393480409,0.1590909090909091,3.181818181818182,7.0,0.0037043134672374053,0.20454545454545456,2.0454545454545454,9.0,isotonic
