model,threshold,n,positives,prevalence,accuracy,balanced_accuracy,precision,recall,f1,brier,note,roc_auc,pr_auc
Logistic regression,0.76,74362,584,0.00785347354831769,0.950391328904548,0.5554019982940306,0.0273972602739726,0.1541095890410959,0.046523649521840266,0.216027379410254,Popular ML benchmark; temporal test,0.6114075751876139,0.020510938206463974
Gradient boosting,0.68,74362,584,0.00785347354831769,0.9293187380651408,0.5626194345717641,0.022680833673886392,0.19006849315068494,0.040525739320920046,0.2118488599480827,Popular ML benchmark; temporal test,0.6617279759493215,0.018281149052852302
DeepCut-inspired neural threshold,0.8400000000000001,74362,584,0.00785347354831769,0.9573169091740406,0.5690848461712423,0.03650680028632784,0.17465753424657535,0.06039076376554174,0.22950339924409527,Neural accounting threshold/exceedance model; no SIVC,0.6268317285250792,0.017489599839530193
HistGradientBoosting,0.74,74362,584,0.00785347354831769,0.9787660364164492,0.5272322892409179,0.037209302325581395,0.0684931506849315,0.04822182037371911,0.09791757470975836,Popular ML benchmark; temporal test,0.5860693892116929,0.013780943949542759
Random forest,0.16,74362,584,0.00785347354831769,0.96946020817084,0.5089523476018578,0.0138328530259366,0.0410958904109589,0.02069857697283312,0.010814519310011499,Popular ML benchmark; temporal test,0.6335927325664517,0.011656113237132467
Extra trees,0.63,74362,584,0.00785347354831769,0.9770716226029423,0.49664982080636577,0.004420866489832007,0.008561643835616438,0.0058309037900874635,0.0884243062824948,Popular ML benchmark; temporal test,0.5416622646540139,0.009737768262771933
