variant,seeds,roc_auc_mean,roc_auc_sd,pr_auc_mean,pr_auc_sd,recall_top_0p05_mean,recall_top_0p05_sd,recall_top_0p1_mean,recall_top_0p1_sd
adaptive_high_only,3,0.756440904030684,0.015913938400269,0.00844756161480994,0.0015778623957674544,0.1936127744510978,0.019248803914157602,0.30538922155688625,0.010371561721969338
context_only_mlp,3,0.7358537057570796,0.01981714069116638,0.008921007318676203,0.0009291576298383256,0.1497005988023952,0.04790419161676646,0.2734530938123752,0.015069529810919677
fixed_global_two_sided,3,0.7241523869205461,0.005512143929325431,0.006259174351059545,0.0005704337319552495,0.16367265469061876,0.013828748962625753,0.3253493013972056,0.07143924218831649
full_adaptive_two_sided,5,0.7571568094604392,0.013824039130006297,0.01142577506431441,0.00827960919146943,0.20718562874251498,0.03011922476636956,0.31137724550898205,0.030825239943074848
