feature,seeds,low_cut_mean,low_cut_sd,high_cut_mean,high_cut_sd,low_weight_mean,low_weight_sd,high_weight_mean,high_weight_sd
accruals_to_assets,5,0.33704738003958834,6.616890410261607,11.977399447680057,4.774338514795098,0.06172025252254677,0.023178175986990138,0.03796891353556061,0.007138946114893863
aqi,5,-2.78420130613217,5.493249953190016,20.907631129456988,9.851961019460486,0.056886859948936844,0.00788611678527549,0.03512621268659115,0.011412124225225499
ar_growth_yoy,5,1.0201602881231182,2.4031374267800962,7.704122582752819,4.014667689633362,0.36346587498716354,0.2929259709470566,0.009180509732406235,0.004383807222272322
assets_growth_yoy,5,-25.377744419497567,9.240387901134469,67.69731142967193,25.38336947333677,0.15398424947080994,0.022201905836055125,0.019889733426568506,0.009437716155328256
cash_to_assets,5,-0.9338010258475788,0.38558452923145303,0.318956150947011,0.28508247225805805,0.23920071578458785,0.10744355315782042,0.3205266585442047,0.057774196570091536
current_ratio,5,9.275360497057283,2.4664791115005364,19.113772927511658,3.0074710084574714,0.3632189135646057,0.14700221272010233,0.04109284485791779,0.03483095279660377
dsri,5,-6.562322400527553,31.101383784980285,39.72450575787752,21.572679244788894,0.01765157357481022,0.004654410683302492,0.039381004833325385,0.007042094581927942
gmi,5,-7.115389298018499,10.198272685195281,5.03931584357011,13.686630059976768,0.08213716026109887,0.01975028071241777,0.019672840885204507,0.0026334637317396714
gross_margin_change,5,-3.0793325466723855,12.284179646456785,14.975666219408122,13.81117638265759,0.04357482711650238,0.021802716231214984,0.012322541248521042,0.0034010771662167888
inventory_growth_yoy,5,-1.1214277647110673,0.549299817305778,0.5935546744511377,1.3912476750148954,0.31604601422641754,0.20742109964299732,0.010335713760808515,0.00440197049345992
inventory_to_revenue,5,-11.505183580633053,11.81992270181044,6.289466044036553,16.671255788094296,0.022424619387690258,0.006318506161460043,0.01852532162900114,0.005065404587491604
leverage,5,-36.45687260416796,35.798298801561955,89.00750521082846,100.12171126959763,0.2029731364124241,0.13857491694635168,0.18321120750746916,0.19969074914150364
loss_indicator,5,-0.018809517548123676,0.2576130915399418,0.9605656736535917,0.39128454020148,0.5617350929871521,0.18160776998678158,0.5003378930680237,0.2038364268982549
lvgi,5,-22.912926894849925,18.658936581850234,24.225980248140655,33.99397156832337,0.23431972328411105,0.08318119436113783,0.0901309111972866,0.02802398202879402
receivables_to_revenue,5,-11.356673361843601,16.63014861592877,8.457240842189037,23.05590209146442,0.03953744080721759,0.02758138809169911,0.010419155652490235,0.0031094154735916884
rev_growth_yoy,5,-45.83196354805452,33.63531624100164,-0.01009405258191407,47.05186926049692,0.3227656155363083,0.2000377596139439,0.020713714772035693,0.010570740983604438
roa,5,-23.636993609175242,3.569903339417795,3.246184581748049,7.010576315150408,0.19277603887934114,0.09847235096374778,0.15523069591539573,0.18086871445942024
sgai,5,-32.67840141207209,33.06782332327377,56.0252012218585,58.22464324834025,0.08372942523647689,0.0272733090109207,0.009181909187776565,0.0033381728259919393
sgi,5,-40.552980898904764,18.469665835320868,16.412386264661258,26.410821991750865,0.2993302529917488,0.10659210254321898,0.016840096148603725,0.008565056947290197
tata,5,-0.6937353025129551,4.320347488644002,10.58634200467992,4.624334252949536,0.053439497378055575,0.002075005198561453,0.03546328870520992,0.010628479053453528
wc_accruals_to_assets,5,-27.547464232668563,13.790574459239407,11.243813293320219,11.039748975508687,0.06038260530096149,0.024212203666226426,0.09915249798366166,0.030192948875504517
