model,metric,estimate,ci_lower,ci_upper,bootstrap_reps
Logistic regression,roc_auc,0.6155948043719309,0.46637243937694334,0.7194507327284387,500
Logistic regression,pr_auc,0.004205325924670684,0.00146941788252282,0.010950365882550753,500
Logistic regression,recall_top_0.05,0.12574850299401197,0.013981807511737089,0.2846715328467153,500
Logistic regression,recall_top_0.1,0.19161676646706588,0.05677587040618955,0.37051776771626505,500
DeepCut-inspired neural threshold,roc_auc,0.6673377860151708,0.5280405085685206,0.7648892927344618,500
DeepCut-inspired neural threshold,pr_auc,0.004542164258286297,0.0016179179118963956,0.013124778044243867,500
DeepCut-inspired neural threshold,recall_top_0.05,0.04790419161676647,0.0,0.11446327073890204,500
DeepCut-inspired neural threshold,recall_top_0.1,0.23952095808383234,0.05619918699186992,0.4,500
