subgroup,model,n,positives,prevalence,threshold,roc_auc,pr_auc,brier,log_loss,ece_10,mean_probability,observed_to_expected,accuracy,balanced_accuracy,precision,recall,f1,precision_top_0p005,recall_top_0p005,lift_top_0p005,positives_top_0p005,precision_top_0p01,recall_top_0p01,lift_top_0p01,positives_top_0p01,precision_top_0p02,recall_top_0p02,lift_top_0p02,positives_top_0p02,precision_top_0p05,recall_top_0p05,lift_top_0p05,positives_top_0p05,precision_top_0p1,recall_top_0p1,lift_top_0p1,positives_top_0p1,label_window_years
AAER window=0,Logistic regression,75923,66,0.0008693017926056663,0.78,0.6143483292526888,0.0011284889651233293,0.14824565569259812,0.4527658768229273,0.23274215341099452,0.23361145520360022,0.0037211436906980466,0.9170080212847227,0.49674876691829645,0.0008006405124099279,0.07575757575757576,0.001584534938995405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007902743569142421,0.045454545454545456,0.9090909090909091,3.0,0.0007902743569142421,0.09090909090909091,0.9090909090909091,6.0,0
AAER window=0,DeepCut-inspired neural threshold,75923,66,0.0008693017926056663,0.86,0.6259876538031488,0.0013478086074069232,0.17806333178966544,0.4836924053389723,0.291758645683677,0.2926279474762827,0.002970672487377928,0.9834700947012104,0.5148703841078968,0.002510460251046025,0.045454545454545456,0.004758128469468675,0.0,0.0,0.0,0.0,0.0013171239281904033,0.015151515151515152,1.5151515151515151,1.0,0.0026342478563808067,0.06060606060606061,3.0303030303030303,4.0,0.0013171239281904033,0.07575757575757576,1.5151515151515151,5.0,0.0009219867497332824,0.10606060606060606,1.0606060606060606,7.0,0
AAER window=1,Logistic regression,75923,113,0.001488350038855156,0.8,0.6248294233487771,0.002811903254679021,0.1613029387491967,0.48629601229499214,0.26728621160840976,0.26877456164726493,0.005537540568323726,0.936040462047074,0.5173178638258431,0.002308499475341028,0.09734513274336283,0.004510045100451004,0.015805487138284842,0.05309734513274336,10.619469026548673,6.0,0.009219867497332824,0.061946902654867256,6.1946902654867255,7.0,0.004609933748666412,0.061946902654867256,3.0973451327433628,7.0,0.0028976726420188873,0.09734513274336283,1.9469026548672563,11.0,0.002370823070742726,0.1592920353982301,1.592920353982301,18.0,1
AAER window=1,DeepCut-inspired neural threshold,75923,113,0.001488350038855156,0.87,0.7063453930587997,0.003974281121402024,0.2007502673098565,0.5409096188273753,0.2985222216384852,0.3000105716773403,0.004960991976162321,0.9661367438062247,0.545642984965908,0.0056315366049879325,0.12389380530973451,0.010773374374759523,0.0026342478563808067,0.008849557522123894,1.7699115044247786,1.0,0.009219867497332824,0.061946902654867256,6.1946902654867255,7.0,0.007244181605047219,0.09734513274336283,4.867256637168142,11.0,0.0036879469989331295,0.12389380530973451,2.47787610619469,14.0,0.0038196593917521698,0.25663716814159293,2.566371681415929,29.0,1
AAER window=2,Logistic regression,75923,153,0.002015199610131317,0.8200000000000001,0.6367247457691448,0.003968136481061561,0.1714802882207721,0.509417026455122,0.2951631826548743,0.29717838226500554,0.006781111044390454,0.9471306455224372,0.526703577476039,0.004109940919599281,0.10457516339869281,0.007909045971329708,0.013171239281904034,0.032679738562091505,6.535947712418301,5.0,0.013171239281904034,0.06535947712418301,6.535947712418301,10.0,0.008561305533237622,0.08496732026143791,4.248366013071895,13.0,0.004214796570209291,0.10457516339869281,2.0915032679738563,16.0,0.0031610974276569683,0.1568627450980392,1.5686274509803924,24.0,2
AAER window=2,DeepCut-inspired neural threshold,75923,153,0.002015199610131317,0.9500000000000001,0.718039672866199,0.005000057652045668,0.23039214353679974,0.6356743916157452,0.38955165319106216,0.39156685280119347,0.005146502048666708,0.9904376802813377,0.4962188201135014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039513717845712105,0.0392156862745098,1.9607843137254906,6.0,0.006058770069675856,0.1503267973856209,3.0065359477124187,23.0,0.006190482462494896,0.30718954248366015,3.0718954248366015,47.0,2
AAER window=3,Logistic regression,75923,167,0.0021995969600779736,0.99,0.6866797056923695,0.005907473369297034,0.1794685531109623,0.5308185415901032,0.3192433658141979,0.32144296277427586,0.006842884165495258,0.9944680795016003,0.5192420481387929,0.026217228464419477,0.041916167664670656,0.03225806451612903,0.023708230707427263,0.05389221556886228,10.778443113772456,9.0,0.015805487138284842,0.0718562874251497,7.185628742514971,12.0,0.011195553389618428,0.10179640718562874,5.089820359281437,17.0,0.007375893997866259,0.16766467065868262,3.353293413173653,28.0,0.005268495712761613,0.23952095808383234,2.3952095808383236,40.0,3
AAER window=3,DeepCut-inspired neural threshold,75923,167,0.0021995969600779736,0.9400000000000001,0.7427215504046556,0.007569743032043421,0.17922756636831927,0.5032169111302515,0.32095852264363317,0.32315811960371116,0.00680656566134046,0.9962725392832211,0.5111840314302489,0.03225806451612903,0.023952095808383235,0.027491408934707903,0.013171239281904034,0.029940119760479042,5.9880239520958085,5.0,0.007902743569142421,0.03592814371257485,3.5928143712574854,6.0,0.006585619640952017,0.059880239520958084,2.9940119760479043,10.0,0.009746717068608985,0.2215568862275449,4.431137724550898,37.0,0.0067173320337710575,0.30538922155688625,3.0538922155688626,51.0,3
