model,threshold,n,positives,prevalence,accuracy,balanced_accuracy,precision,recall,f1,brier,note,roc_auc,pr_auc
DeepCut-inspired neural threshold,0.97,75923,167,0.0021995969600779736,0.9970891561186992,0.511593239941786,0.06451612903225806,0.023952095808383235,0.034934497816593885,0.206719771027565,Neural accounting threshold/exceedance model; no SIVC,0.7669747626559016,0.0073840740728102
Logistic regression,0.99,75923,167,0.0021995969600779736,0.9944680795016003,0.5192420481387929,0.026217228464419477,0.041916167664670656,0.03225806451612903,0.1794685531109623,Popular ML benchmark; temporal test,0.6866797056923695,0.005907473369297034
Extra trees,0.67,75923,167,0.0021995969600779736,0.9964042516760402,0.5022877972867824,0.009259259259259259,0.005988023952095809,0.007272727272727273,0.04658393148317752,Popular ML benchmark; temporal test,0.6422118538149426,0.005505967113976588
Random forest,0.09999999999999999,75923,167,0.0021995969600779736,0.9930455856591547,0.5155418214734795,0.0160857908847185,0.03592814371257485,0.022222222222222223,0.0025008899633638263,Popular ML benchmark; temporal test,0.6500178401315537,0.004237375351967019
HistGradientBoosting,0.79,75923,167,0.0021995969600779736,0.9949949290728765,0.5015815825975168,0.004651162790697674,0.005988023952095809,0.005235602094240838,0.027110253037967092,Popular ML benchmark; temporal test,0.6554457218937698,0.0036236866346776387
Gradient boosting,0.7100000000000001,75923,167,0.0021995969600779736,0.9617770636039145,0.5058479192415106,0.0029080334423845873,0.04790419161676647,0.0054832076764907475,0.14653898744704477,Popular ML benchmark; temporal test,0.621104970480392,0.0032877482741150025
